what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353720565
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309353721361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353726257
error,log,,,"Problems while generating code",1309353729676
error,log,,,"Problems while generating code",1309353729730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353729795
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309353746529
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309353746658
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1309353761085
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309353761123
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309353762899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353768940
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353772457
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1309353772464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1309353772464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353799950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353801285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1309353801295
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1309353804488
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1309353807873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353819667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353826677
executed,command,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui.actions.CleanGeneratedCommand",1309353826688
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309353837744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353843323
closed,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1309353844195
closed,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1309353844295
closed,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309353844381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353844499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1309353844538
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1309353853262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353853311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353855379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353856841
opened,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1309353868687
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1309353868706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353868847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353873229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353879656
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1309353892062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353892299
opened,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1309353990383
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1309353990400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353990480
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1309353997367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309353997428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354000114
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1309354008536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354008589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354010802
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309354010828
opened,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309354011173
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309354011206
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309354022114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354036701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354040348
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309354042883
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309354045240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354046077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354048581
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309354050249
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309354051648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354053381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354054517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354056668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354056923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309354056936
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309354058081
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309354060391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354061653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354065781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354067464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354067557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309354067569
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309354068675
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309354070665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354071789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354075821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354077568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354077900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309354077938
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309354078926
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309354081409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354082254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354083118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354084619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309354084696
