what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309351979027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309351989296
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309352004983
opened,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309352005363
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309352005403
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309352016967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352018107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352019003
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309352024552
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309352028833
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309352029940
closed,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309352029969
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309352031044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352033943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352035928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1309352035976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352038572
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1309352041007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352041448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1309352041467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352043474
closed,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309352046548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352046680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1309352046707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352052000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309352053315
