what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364732389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364738305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364739179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364745731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364779419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364781331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364789605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364791059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364791192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309364791205
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309364803213
activated,editor,org.eclipse.gmf.tooldef.edit,2.0.100.v20090114-0940,"org.eclipse.gmf.tooldef.presentation.GMFToolEditorID",1309364803400
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309364819277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364845374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364846484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364847494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364871385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1309364874114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364901702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364901765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309364901779
activated,editor,org.eclipse.gmf.tooldef.edit,2.0.100.v20090114-0940,"org.eclipse.gmf.tooldef.presentation.GMFToolEditorID",1309364903130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364935886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364936017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309364936050
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1309364938391
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309364941310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364944388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364952180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364955179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364974118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364982811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309364996238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365125907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365131237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365138843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365143844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365144376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365144909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365148227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365151517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365161131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365191968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365194496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365194598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309365194610
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309365196510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365199965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365206633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365211313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365232355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365235894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365236838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309365240507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309367880038
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1309367884640
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309367921962
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1309367985922
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309367993017
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.ReflectiveEditorID",1309367998650
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1309368002721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368009366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368009636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309368009645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368012079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368019563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368019668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368019910
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309368051323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368059903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368073733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309368081652
